source,key,n_prefs,fitness,n_prefs_source
model,"(1, 1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0)",2,36.48007583618164,2_model
model,"(1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0)",2,36.791996002197266,2_model
model,"(1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0)",2,36.61239242553711,2_model
model,"(1, 0, 3, 1, 0, 0, 0, 1, 0, 0, 0, 1)",3,35.567623138427734,3_model
model,"(1, 1, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0)",2,36.56863784790039,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0)",3,36.8235969543457,3_model
model,"(1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0)",1,36.98673629760742,1_model
model,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",1,37.80392074584961,1_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1)",2,35.154788970947266,2_model
model,"(1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0)",2,36.002193450927734,2_model
model,"(1, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 0)",2,36.33218765258789,2_model
model,"(1, 1, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0)",3,36.15830612182617,3_model
model,"(1, 0, 2, 1, 0, 1, 0, 0, 0, 0, 0, 0)",2,36.92042922973633,2_model
model,"(1, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 1)",3,35.21358108520508,3_model
model,"(1, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1)",3,35.49000930786133,3_model
model,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0)",2,37.2506217956543,2_model
model,"(1, 1, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0)",3,35.68257522583008,3_model
model,"(1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 1)",3,35.78622817993164,3_model
model,"(1, 1, 3, 1, 0, 0, 0, 1, 1, 0, 0, 0)",3,35.9520149230957,3_model
model,"(1, 1, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0)",2,34.03156661987305,2_model
model,"(1, 0, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0)",3,36.09560775756836,3_model
model,"(1, 1, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0)",2,36.144962310791016,2_model
model,"(1, 1, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0)",3,35.81303024291992,3_model
model,"(1, 0, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0)",3,36.15127944946289,3_model
model,"(1, 1, 3, 1, 0, 0, 0, 1, 0, 0, 0, 0)",3,36.35647201538086,3_model
model,"(1, 0, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0)",3,36.29032516479492,3_model
model,"(1, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0)",2,34.513248443603516,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 1)",3,35.236148834228516,3_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,36.073909759521484,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0)",3,36.20359420776367,3_model
model,"(1, 1, 2, 1, 0, 0, 0, 0, 1, 0, 0, 0)",2,36.301822662353516,2_model
model,"(1, 0, 3, 1, 0, 0, 0, 1, 1, 0, 0, 0)",3,35.78728103637695,3_model
model,"(1, 0, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0)",3,35.85905838012695,3_model
model,"(1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",1,37.54060745239258,1_model
model,"(1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0)",3,36.73711013793945,3_model
model,"(1, 1, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0)",3,36.482723236083984,3_model
model,"(1, 1, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0)",3,36.71550369262695,3_model
model,"(1, 0, 3, 1, 0, 0, 1, 0, 0, 0, 0, 0)",3,36.748172760009766,3_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1)",3,35.58048629760742,3_model
model,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2,35.91391372680664,2_model
model,"(1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1)",2,34.700313568115234,2_model
model,"(1, 1, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0)",3,35.724361419677734,3_model
model,"(1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0)",1,37.4543571472168,1_model
model,"(1, 1, 3, 1, 0, 0, 0, 0, 0, 1, 0, 0)",3,36.312015533447266,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0)",3,36.17011642456055,3_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1)",2,35.59133529663086,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0)",3,35.822383880615234,3_model
model,"(1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 0)",3,37.21992111206055,3_model
model,"(1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 0)",3,36.62013626098633,3_model
model,"(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",1,37.75114059448242,1_model
model,"(1, 1, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0)",3,37.29683303833008,3_model
model,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0)",2,35.90766525268555,2_model
model,"(1, 1, 4, 1, 0, 0, 0, 0, 0, 1, 0, 0)",4,36.60892105102539,4_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0)",3,36.31619644165039,3_model
model,"(1, 0, 3, 0, 0, 0, 0, 1, 2, 0, 0, 0)",3,35.43635177612305,3_model
model,"(1, 1, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,36.18198013305664,2_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0)",2,36.43770980834961,2_model
model,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1)",2,35.2050895690918,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0)",3,36.38790512084961,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0)",3,35.6296501159668,3_model
model,"(1, 1, 3, 1, 0, 0, 0, 1, 0, 1, 0, 0)",3,35.85895919799805,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0)",3,36.10908126831055,3_model
model,"(1, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0)",2,35.703128814697266,2_model
model,"(1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1)",1,35.32435989379883,1_model
model,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 1, 0, 0)",2,36.02412796020508,2_model
model,"(1, 1, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0)",2,36.66611099243164,2_model
model,"(1, 0, 3, 1, 0, 0, 0, 1, 0, 0, 1, 0)",3,36.30289077758789,3_model
model,"(1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0)",2,36.02627944946289,2_model
model,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0)",2,35.93684005737305,2_model
model,"(1, 1, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0)",3,33.47587203979492,3_model
model,"(1, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0)",4,36.69626998901367,4_model
model,"(1, 0, 4, 0, 0, 1, 0, 0, 0, 1, 0, 0)",4,36.3342170715332,4_model
model,"(1, 0, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0)",3,36.33909225463867,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 1, 1, 0, 0, 1)",3,35.09443283081055,3_model
model,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0)",2,37.09572982788086,2_model
model,"(1, 1, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0)",2,35.83220291137695,2_model
model,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1)",2,35.37758255004883,2_model
model,"(1, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 1)",3,35.570133209228516,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 1)",3,35.4525032043457,3_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 1)",2,35.078739166259766,2_model
model,"(1, 1, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0)",2,36.082942962646484,2_model
model,"(1, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0)",3,37.25432205200195,3_model
model,"(1, 1, 2, 0, 0, 0, 0, 0, 2, 0, 0, 0)",2,36.56623458862305,2_model
model,"(1, 0, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0)",2,35.62069320678711,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 1, 0, 0, 1, 0)",3,36.58048629760742,3_model
model,"(1, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0, 0)",2,35.716182708740234,2_model
model,"(1, 0, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0)",3,37.4062385559082,3_model
model,"(1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,36.82999038696289,4_model
model,"(1, 1, 3, 0, 0, 0, 0, 1, 0, 0, 0, 2)",3,34.94308853149414,3_model
model,"(1, 0, 3, 1, 0, 0, 0, 1, 0, 1, 0, 0)",3,35.55558395385742,3_model
model,"(1, 1, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0)",3,36.62398910522461,3_model
model,"(1, 1, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0)",3,35.749691009521484,3_model
model,"(1, 0, 2, 0, 0, 0, 1, 0, 0, 1, 0, 0)",2,35.9972038269043,2_model
model,"(1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0)",2,36.81905746459961,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0)",3,36.24155807495117,3_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 0, 0)",2,36.444332122802734,2_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0)",3,36.06142807006836,3_model
model,"(1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, 0)",2,36.14850997924805,2_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0)",2,37.16243362426758,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 0)",3,35.3767204284668,3_model
model,"(1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0)",2,36.72935104370117,2_model
model,"(1, 1, 4, 0, 0, 0, 0, 0, 0, 1, 0, 0)",4,36.50632095336914,4_model
model,"(1, 1, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0)",4,36.75400924682617,4_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 0)",3,36.18644332885742,3_model
model,"(1, 1, 3, 0, 0, 0, 2, 0, 0, 1, 0, 0)",3,34.82285690307617,3_model
model,"(1, 0, 4, 1, 0, 0, 0, 1, 0, 0, 0, 0)",4,36.5300407409668,4_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0)",2,36.47682571411133,2_model
model,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",2,37.34518814086914,2_model
model,"(1, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0)",2,36.19369888305664,2_model
model,"(1, 0, 3, 0, 0, 0, 1, 0, 0, 1, 0, 0)",3,35.85325241088867,3_model
model,"(1, 0, 4, 1, 0, 0, 1, 0, 0, 0, 0, 0)",4,36.96010971069336,4_model
model,"(1, 0, 3, 0, 0, 0, 0, 1, 0, 0, 0, 0)",3,36.322322845458984,3_model
model,"(1, 1, 3, 0, 0, 0, 1, 0, 0, 2, 0, 0)",3,35.50529861450195,3_model
model,"(1, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 1)",2,36.11860275268555,2_model
model,"(1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1)",2,35.49648666381836,2_model
model,"(1, 0, 3, 0, 0, 0, 2, 0, 0, 0, 0, 0)",3,35.969295501708984,3_model
model,"(1, 1, 4, 0, 0, 0, 0, 1, 0, 1, 0, 0)",4,35.90481185913086,4_model
model,"(1, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 1)",2,35.27328109741211,2_model
model,"(1, 0, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1)",3,36.4583854675293,3_model
model,"(1, 0, 3, 0, 0, 0, 1, 1, 0, 0, 0, 0)",3,36.72177505493164,3_model
model,"(1, 1, 2, 0, 0, 0, 0, 0, 1, 1, 0, 0)",2,36.60756301879883,2_model
model,"(1, 0, 3, 0, 0, 0, 2, 0, 1, 0, 0, 0)",3,35.2141227722168,3_model
model,"(1, 1, 4, 1, 0, 0, 0, 1, 0, 0, 0, 0)",4,36.42965316772461,4_model
model,"(1, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0)",3,37.18856430053711,3_model
model,"(1, 0, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0)",2,36.42934036254883,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 1, 0, 1, 0, 0)",3,35.7318000793457,3_model
model,"(1, 0, 2, 0, 0, 0, 1, 0, 1, 0, 0, 0)",2,36.273494720458984,2_model
model,"(1, 1, 4, 1, 0, 0, 0, 0, 0, 1, 0, 1)",4,35.75082778930664,4_model
model,"(1, 1, 3, 0, 0, 0, 0, 1, 0, 2, 0, 0)",3,35.22633743286133,3_model
model,"(1, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 0)",3,33.203548431396484,3_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0)",3,36.3720588684082,3_model
model,"(1, 1, 3, 1, 0, 0, 2, 0, 0, 0, 0, 0)",3,35.00436782836914,3_model
model,"(1, 0, 4, 0, 0, 0, 0, 1, 2, 0, 0, 0)",4,36.00112533569336,4_model
model,"(1, 0, 2, 0, 0, 0, 2, 0, 0, 0, 0, 0)",2,34.32877731323242,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 1, 0, 2, 0, 0)",3,35.090030670166016,3_model
model,"(1, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0, 0)",3,37.34353256225586,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 0)",3,36.39451217651367,3_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3,37.16401290893555,3_model
model,"(1, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1)",3,36.34016799926758,3_model
model,"(1, 0, 3, 1, 0, 1, 1, 0, 0, 0, 0, 0)",3,36.93453598022461,3_model
model,"(1, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0)",3,37.08369064331055,3_model
model,"(1, 1, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0)",3,35.9767951965332,3_model
model,"(1, 1, 4, 0, 0, 0, 1, 0, 0, 0, 0, 0)",4,36.86684799194336,4_model
model,"(1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 1, 0)",2,37.32664108276367,2_model
model,"(1, 1, 4, 1, 0, 0, 1, 0, 0, 0, 0, 0)",4,36.884517669677734,4_model
model,"(1, 0, 4, 0, 0, 1, 0, 0, 0, 0, 0, 0)",4,36.97652816772461,4_model
model,"(1, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0, 0)",2,36.0993766784668,2_model
model,"(1, 1, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0)",2,35.922725677490234,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 0, 2, 0, 0)",3,36.01034927368164,3_model
model,"(1, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0)",4,36.85959243774414,4_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 1, 1, 0, 1)",3,35.315486907958984,3_model
model,"(1, 1, 3, 0, 0, 0, 2, 0, 1, 0, 0, 0)",3,35.096622467041016,3_model
model,"(1, 0, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0)",2,35.61030960083008,2_model
model,"(1, 1, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0)",4,36.53617477416992,4_model
model,"(1, 0, 3, 0, 0, 1, 0, 1, 0, 0, 0, 0)",3,36.769596099853516,3_model
model,"(1, 1, 3, 0, 0, 0, 1, 2, 0, 0, 0, 0)",3,36.06137466430664,3_model
model,"(1, 1, 3, 1, 0, 0, 0, 0, 0, 0, 1, 0)",3,37.3480110168457,3_model
model,"(1, 0, 3, 1, 0, 0, 0, 0, 0, 1, 1, 0)",3,36.470706939697266,3_model
model,"(1, 0, 3, 0, 0, 0, 1, 1, 0, 1, 0, 0)",3,35.8864860534668,3_model
model,"(1, 0, 4, 1, 0, 0, 0, 2, 0, 0, 0, 0)",4,36.45528030395508,4_model
model,"(1, 0, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0)",3,36.28342056274414,3_model
model,"(1, 1, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0)",3,35.97182083129883,3_model
model,"(1, 1, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0)",3,35.61393356323242,3_model
model,"(1, 0, 3, 0, 0, 0, 0, 2, 0, 0, 0, 1)",3,34.22370529174805,3_model
model,"(1, 0, 3, 1, 0, 1, 0, 1, 0, 0, 0, 0)",3,36.675174713134766,3_model
model,"(1, 1, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0)",4,36.53025436401367,4_model
model,"(1, 0, 4, 0, 0, 0, 0, 1, 0, 0, 1, 0)",4,36.77199172973633,4_model
model,"(1, 0, 4, 0, 0, 0, 0, 1, 0, 1, 0, 0)",4,35.99943923950195,4_model
model,"(1, 1, 4, 1, 0, 0, 0, 0, 0, 1, 0, 2)",4,35.3055534362793,4_model
model,"(1, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 1)",3,34.982913970947266,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0)",3,37.15141677856445,3_model
model,"(1, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1)",2,35.25674819946289,2_model
model,"(1, 0, 3, 0, 0, 0, 0, 1, 1, 1, 0, 0)",3,35.42252731323242,3_model
model,"(1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1)",2,35.448490142822266,2_model
model,"(1, 0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0)",2,36.0564079284668,2_model
model,"(1, 0, 3, 0, 1, 0, 0, 0, 0, 2, 0, 0)",3,36.05845260620117,3_model
model,"(1, 1, 3, 0, 0, 0, 0, 2, 0, 0, 0, 1)",3,34.91059494018555,3_model
model,"(1, 0, 4, 1, 0, 0, 0, 0, 1, 0, 0, 0)",4,36.62705612182617,4_model
model,"(1, 0, 4, 0, 0, 1, 0, 0, 0, 1, 1, 0)",4,36.5309944152832,4_model
model,"(1, 0, 4, 0, 0, 0, 0, 1, 0, 0, 2, 0)",4,36.85775375366211,4_model
model,"(1, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0)",2,36.98056411743164,2_model
model,"(1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 0, 1)",3,35.57786178588867,3_model
model,"(1, 1, 4, 1, 0, 0, 0, 0, 1, 1, 0, 0)",4,36.8211784362793,4_model
model,"(1, 1, 4, 1, 0, 0, 0, 0, 0, 0, 0, 1)",4,36.4044303894043,4_model
model,"(1, 0, 4, 0, 1, 0, 0, 1, 2, 0, 0, 0)",4,36.06528854370117,4_model
model,"(1, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0)",3,36.066287994384766,3_model
model,"(1, 0, 4, 0, 0, 0, 0, 2, 0, 0, 1, 0)",4,36.58756637573242,4_model
model,"(1, 1, 4, 0, 0, 0, 0, 1, 2, 0, 0, 0)",4,35.93099594116211,4_model
model,"(1, 0, 3, 0, 1, 0, 0, 0, 1, 1, 0, 0)",3,36.279666900634766,3_model
model,"(1, 0, 3, 0, 0, 0, 2, 0, 0, 1, 0, 0)",3,34.95272445678711,3_model
model,"(1, 0, 3, 0, 1, 0, 1, 0, 0, 1, 0, 0)",3,35.902896881103516,3_model
model,"(1, 1, 4, 0, 0, 0, 0, 1, 1, 0, 0, 0)",4,36.009700775146484,4_model
model,"(1, 0, 3, 0, 0, 0, 1, 0, 0, 0, 1, 0)",3,37.079715728759766,3_model
model,"(1, 0, 4, 0, 0, 1, 0, 1, 0, 0, 1, 0)",4,37.07327651977539,4_model
model,"(1, 1, 3, 0, 0, 1, 0, 0, 0, 1, 0, 0)",3,36.46090316772461,3_model
model,"(1, 1, 3, 1, 0, 0, 1, 0, 0, 1, 0, 0)",3,35.850215911865234,3_model
model,"(1, 0, 3, 1, 0, 0, 0, 0, 1, 0, 0, 0)",3,36.46792984008789,3_model
model,"(1, 0, 4, 1, 0, 0, 0, 1, 0, 0, 1, 0)",4,36.83834457397461,4_model
model,"(1, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0)",4,36.9248161315918,4_model
model,"(1, 1, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0)",4,36.70669174194336,4_model
model,"(1, 0, 3, 0, 0, 1, 0, 1, 0, 0, 1, 0)",3,36.86825942993164,3_model
model,"(1, 1, 4, 0, 0, 0, 0, 2, 1, 0, 0, 0)",4,35.564327239990234,4_model
model,"(1, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0)",3,33.79292297363281,3_model
model,"(1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0)",2,36.9018669128418,2_model
model,"(1, 0, 4, 0, 0, 0, 0, 1, 0, 0, 0, 0)",4,36.604923248291016,4_model
model,"(1, 0, 3, 0, 1, 0, 0, 0, 2, 0, 0, 0)",3,36.29597854614258,3_model
model,"(1, 0, 4, 0, 0, 0, 0, 2, 1, 0, 0, 0)",4,35.664974212646484,4_model
model,"(1, 1, 4, 0, 0, 0, 0, 1, 0, 0, 2, 0)",4,36.76717758178711,4_model
model,"(1, 1, 3, 2, 0, 0, 0, 1, 0, 0, 0, 0)",3,36.28361129760742,3_model
model,"(1, 0, 3, 0, 0, 0, 0, 0, 2, 0, 1, 0)",3,36.40243148803711,3_model
model,"(1, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0, 1)",4,35.76189041137695,4_model
model,"(1, 0, 4, 0, 1, 0, 0, 1, 1, 0, 0, 0)",4,36.141727447509766,4_model
model,"(1, 0, 3, 0, 0, 0, 2, 1, 0, 0, 0, 0)",3,35.81874465942383,3_model
model,"(1, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 1)",3,35.593997955322266,3_model
model,"(1, 1, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0)",4,36.46627426147461,4_model
model,"(1, 0, 4, 0, 0, 0, 0, 0, 1, 0, 0, 0)",4,36.55635452270508,4_model
model,"(1, 0, 4, 1, 0, 0, 0, 0, 2, 0, 0, 0)",4,36.85227584838867,4_model
model,"(1, 1, 4, 1, 0, 0, 1, 0, 0, 0, 0, 2)",4,35.07760238647461,4_model
model,"(1, 0, 4, 0, 0, 0, 0, 1, 0, 1, 0, 1)",4,35.64067459106445,4_model
model,"(1, 0, 4, 1, 0, 0, 0, 0, 0, 0, 1, 0)",4,37.211002349853516,4_model
model,"(1, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0)",4,36.714969635009766,4_model
