,Unnamed: 0,index,id,timestamp,scene,game_setup,game_gameplay,game_scoring,game_difficulty,game_firstTimeScore,gameScore_score,gameScore_thoughts,debrief_strategy,debrief_difficulties,debrief_questions,debrief_external_aids,game_edited,edited_game_fields
20,20,57,qSbsQv2jOptuDovotsIE,2021-11-09 15:42:14.716000+00:00,medium_objects,No setup needed.,"To play my game, you will use the building blocks on the shelf, to build as high of a tower as possible. You can play it safe and use less blocks, but for less points, or a higher tower for more points. When you have built as high as you dare, you will place yourself on the far side of the room with the red dodgeball. Then, you will throw the ball at the tower and try to knock down as many blocks as you can.","To score my game, you will get 1 point for each block you use to build the tower. If your tower falls over while building you will get -1 points. Additionally, you will get 1 point for each block you manage to knock over with the dodgeball in phase 2.",2,5,6,"It was a lot more difficult to stack the blocks than I thought. I would change the rule that you lose if the tower falls, to you getting -1 point every time it falls instead.","Since you were very much limited by the objects in the room, as well as a fairly limited control scheme, I tried to do something simple and easy to score. Using the building blocks to build a tower is a very simple idea, though it's a bit more challenging to do in the game than in real life. Once I had the idea of using more blocks to build higher = more points, I also wanted something to punish you if you built to greedy and to high. Thus, I first just made a rule that made you lose if your tower fell over while building. Playing the game myself however, I found it rather hard using the games physics to stack a stable tower, so I changed the rule to give -1 points every time your tower fell instead. Finally, once your tower was built, it's always fun to knock stuff over. So, using the red dodgeball, I gave bonus points for each block you managed to knock over in a single throw.",The frame rate could get low at times., It would have been nice to be able to simply drop an item you've picked up instead of just throwing it. Even just left clicking without holding it down still throws the item with some force.,No.,True,"scoring,difficulty,firstTimeScore"
21,21,65,lwStmxdD6dbFuxgQ05vB,2021-12-21 23:42:29.153000+00:00,few_objects,"I moved a chair to the middle of the room, and turned it so it was facing sideways. I moved both balls; one to the bin and one to the bed, to show where two of the goals are.","To play my game, you start at the table at the far-side of the room. The goal is to throw the ball in the bin, but you also get points (although less points) if the ball lands on the chair or the bed, since those are easier targets. It's like a bedroom version of basketball.","If you score the ball into the bin - 5 Points
If you score the ball onto the bed - 1 Point
If you score the ball onto the chair - 1 Point
If your ball ends up on the floor or on any other object - Lose 2 points.

You win when you gain 10 points. You lose if your points get down to negative 5 points.",1,10 points.,-10 points,My game was much harder than I thought it would be.,"First, I walked around the room picking up objects and turning objects on, to try to get an idea of what I could use for my game. Then, I thought of a really obvious object that I could use to inspire my game, for example my inspiration was the bin in the room. Then, I started coming up with possible ideas for the game using my inspiration object with the other objects in the room.","No, I didn't.",No comments,"No, I didn't.",False,
22,22,66,me2bPEvz4glQ1Q8GSfm8,2021-12-22 00:31:15.719000+00:00,medium_objects,"To prepare the room for the game, the bin must be placed at the foot of the desk.
A Beachball, a BasketBall and a Dodgeball must be near the player. The player must stand on the carpet.
The Desktop, Laptop and any other objects placed on the desk should be moved to avoid hazards.","The primary goal of my game is to throw balls into a bin across the room. Depending on the distance and the type of ball thrown, you may gain more points. You stand on the carpet and aim to toss balls into the bin on the opposite side of the room near the desk. The player has 8 attempts to reach the highest score possible.","If the player uses a Dodgeball and throws it into the bin, they receive 1 point. If the player uses a BasketBall and throws it into the bin, they receive 2 points. If the player uses a Beachball and it lands on top of the bin, they receive 3 points. Bonus points can be earned from the game depending on where the ball is thrown. If the ball is thrown on the red line of the carpet and the ball enters the bin, the player recieves 1 extra point. If the player throws the ball from the pink square on the carpet and the ball enters the bin, the player recieves 2 extra points. If the same is done on the yellow square on the carpet, the player receives 3 points. This incentives players to shoot from farther distances to gain points. Easier and smaller balls award less points, and bigger balls award more points. Since there are 8 attempts or 8 turns, the highest possible amount of points earned could be 48 using the Beachball on the yellow carpet tile. If the player misses their shot, they earn 0 points and move onto the next attempt.",3,I would score 8 on my first time playing.,I scored 8 points in my game.,"I feel that my game is a little difficult, but with enough practice, you can easily rack up many points as you learn the momentum of the ball and different ricochet strategies to get the ball into the bin.","To create the game, I tested every object in the room to determine which could be useful for a game. I used ramps, blocks, balls and bins until I discovered something that could realistically work. After a fair amount of experimentation, I set up the room and tried to think of rules that could fit with my game.",No technical difficulties!,This was the most fun i've ever had completing a study. It was a really interesting concept and I'd love to do something like it again.,I didn't use any external aids. Everything that i've submitted in this study is completely genuine.,True,firstTimeScore
23,23,67,uhGe7SjH7liOuiTHkFZg,2021-12-22 00:52:39.409000+00:00,few_objects,,Throw a dodgeball into the bin to score points.,Everytime you score a dodgeball into the bin you get 1 point and you lose 1 point every 5 throws.,1,I would score somewhere between 5-10 points,I scored 2 points,,I looked carefully at every object in the room. After i finished that i went through all my possible options and created the game.,Nope I did not.,Nope :),Nope I did not.,False,
24,24,69,50OkWutbBlKsEJPMGbKu,2021-12-22 15:38:53.421000+00:00,few_objects,The bin has to go on top of a chair to make it more challenging.,The idea is to get each of the coloured balls into the bin.,"First, the player must choose a place to stand on the multi-coloured rug.
Each of the balls is worth a different amount. So if the player gets the the blue ball in, they score 5 points, and if they get the pink ball in they score 10 points.
If the player stands on the red part of the rug, they can 1x the value of the ball they scored a goal with.
If the player scores from the pink part, they score 2x.
They score 3x from the orange or green parts.
4x the amount from the purple or yellow parts.
If a ball is missed, they score nothing.
The game ends when they get to 300 points.",4,5 points.,5,I made it too challenging for myself!,"I wanted to make it fun to interact with the different coloured objects  in the room. The rug was a great starting point, because it clearly showed different sections where you could stand. Throwing a ball into a goal is the basis of a lot of sports, so this is something everyone could have a certain level of experience with, and thus anyone could play.",None. I just made the idea too challenging for myself. Especially having the bin on the chair. It meant throwing upwards was harder than if the bin was on the ground. ,"Fun, and interactive. I loved the creativity, and challenging myself to think outside the box. This is the sort of thing that i used to do when i was younger, and had nothing to play with, but had to amuse myself!",None. I looked around me and just used creativity.,True,"difficulty,firstTimeScore"
25,25,72,zhq2iVuBVQxs15gj7Blw,2021-12-22 16:58:43.828000+00:00,many_objects,To prepare the room for the game you need to hide the pyramid objects anywhere you can,To play my game you have to find all the pyramid objects and put them back on the cupboard,You will get a point for every pyramid you will put on the cupboard,0,I would score the maximum points - 6 points (for 6 pyramids),,,,,,,False,
26,26,73,cpECU5M34mXo0nVEGZka,2021-12-22 17:14:59.558000+00:00,few_objects,You have to hide all the cubes,To play this game you have to find all the cubes and put them on the cupboard,You will get a point for every cube you will manage to find and put on the cupboard,0,I would score maximum points > 6 points (for 6 cubes),I scored 6 points for those 6 cubes that I have put on the cupboard,"Now that I payed my game I found out it is easy, like a first level type of game","I found objects that would be similar to each other to hide them, so the player would have to search for them","Yes, I had to swiitch from my old Mac laptop to a newer one, because on the old one the control button was not working","It was a very interesting survey, thank you! And good luck with your research!","I didn't use anything, because my game was not so difficult",False,
27,27,75,5C0xygoyrz8PTdYR8xff,2021-12-22 17:49:42.197000+00:00,few_objects,Need to scatter the items around the room. Take the balls down from the shelf. Scatter the cubes around the room. Turn the lights and desktop computer on. ,"The game would be called ""Clean Up."" You would need to find a space to put everything away. For instance, the dodgeballs would go in the bin. The small items, phone, keys, etc..., would all be put in the drawer of the bedside table. The book and laptop would be stored on the side shelves. The square bins would be stored on the shelves in the back of the room.","Every item in the room would have a value. For each item that is put away in the correct location, the player would receive 5 points. For every item that is turned off (to conserve electricity), the player would receive 3 points.",3,50,60,"It's still pretty hard. I had trouble putting things into the proper location. Until you get the hang of it, it's really hard to put items on the shelves. It definitely took some practice. ","I looked at what I had available to me and what I could do with it. Not coincidently, Fridays are the days that I clean up my place, so the thought of a Clean Up game came naturally to me. I then thought of where everything needed to go for the scoring aspect of the game. ","I did have trouble putting things on the shelves. It was really hard at first, and I kept missing it. That isn't a technical difficult, per say, but I would've liked it if the game make it easier to determine when a player is directly over something (like a shelf or the bin). ","No, this was an interesting experiment. I liked doing it.","Yes, I opened up a notepad sheet on my computer and wrote down notes as I tried to develop my game. That's all the external aids that I used, though.",False,
28,28,78,xKsIJRkAQ3ELL4W0K0wq,2021-12-22 19:05:08.318000+00:00,few_objects,"the balls, and colorful rug and the cubes","lay the blocks on the colorful pat in a random order. Then I would grab the balls and turn around and toss the balls like in a bowling matter, avoiding the blocks. ","hit a block at level one the red part of pat (-5), hit on green and pink (-3) and (-1) at yellow and purple. if you make it to the end thats 10 points. you want to reach 50 points in 3 minuets. ",2,30,0,It didn't let me move my screen so I couldn't play. ,I just went based on what I would do if someone told me I would be placed in a room and they would be back in an hour. ,"yes, I couldnt move at times. ","No, thank you!!",no.,False,
29,29,79,vY50SvtI10c0YhXHIVv8,2021-12-23 16:39:56.793000+00:00,few_objects,The game starts as it is.,"You need to place all movable objects on the bed. The pillow and blanket (which are already on) don't count.
The best score is 22.",Each object placed gives you 1 point.,2,20,17,It can be a little easier if you throw the objects. ,I considered kids playing the game. It haad to be something easy to understand but a little difficult to play.,None.,It was a fun activity.,"At first I considered a timer or a stopwatch to set a limit of 2 minutes to complete the game, but then I remembered that no external things had to be used, so I changed the rules to set all the objects on the bed.",True,"gameplay,difficulty,firstTimeScore"
30,30,80,miUxjWokGXkq0ebqTxz6,2021-12-23 16:40:15.596000+00:00,many_objects,you need to move  blocks from shelfs to carpet and form an obstacle course,"You need to put blocks from shelfs on a carpet to make obstacles then You throw a ball(big ball, small ball or beach ball) at the ramp and you need to guess which ball would go farthest for a particular obstacles",The further it goes the more points you get (1 cm is 1 point),0,100,80,It's hard to put ball on the ramp,"It appeared in my mind after noticing ball, ramp and blocks",It was laggy even though I have strong pc,no,no,True,gameplay
31,31,81,DfCWVG3I8HkoSioS37gi,2021-12-23 17:57:39.057000+00:00,few_objects,"The bin needs to be as far as it can from the bed. Close to the desk. The chair, that is in the middle can be moved for this to work. The cube blocks will be around the bin only to be realistic, this means the bin will not move if you hit it, the blocks will help the bin not to move.","The idea is to throw as many small objects inside the bin as you can. The clock, the cell phone, the mug, the keys, the cd, and probably the book and balls, if possible. You can only throw the objects standing on the coloured rug, you can't come any closer towards the bin. The red line on the rug is the limit.
The objects you can throw will be prepared on the nightstand and on the bed. Once there are no objects on the bed and the nightstand, the game will be over.","Each object from the nightstand thrown inside the bin gives 1 point. Each object from the bed thrown inside the bin gives 2 points.
The more points the better.",2,5,5,"There must be some changes. The objects on the nightstand (credit card, cell phone, cd, clock, mug, watch and keys) will give you 1 point and the objects on the bed (blue and purple ball, and book) will give 2 points.","I have always liked to throw things into the bin in my bedroom, or in the kitchen. Its always fun.","Yes. If you place the small objects (credit card, the watch, the cell phone, the pen, cd) on the bed, you can't pick them up again; actually this made me change the rules for the game. That's why I came up with the idea of changing the set up and the scoring system.
The Credit card, the keys, the cell phone, the pen, cd, clock and watch need to be on the night stand.",I had fun creating the game.,No.,True,"gameplay,scoring,difficulty,firstTimeScore"
32,32,82,ShyRlIFgTWW6vqNrd3K5,2021-12-23 18:16:09.829000+00:00,many_objects,"Take the bin and place it in any corner of the room. I used the corner that is on the bed. Also take the cube, cylinder and triangle blocks and make a pyramid (3-2-1) on the desk.","It's a mix of basketball and throwing balls in the pyramid of blocks to knock them over. I start of by trying to get as many balls as I can in the bin, to score enough points. Golf balls and dodgeballs score differently. Golf balls give 2 points, and dodgeballs give 1 point. You need to score 2 or more points in total, which can be done by a different combination of getting balls in the bin. You only have two tries for each of the 6 balls. After scoring the 2 points, you move to the other side of the room and get the remaining balls with you. You throw them and try to knock the pyramid over. For each block you knock over, you get 1 point. If you knock them all over and still have some balls remaining, you get 2 points for the dodgeballs and 1 for the golf balls that remain, and the total of the points from the balls and the points from the blocks knocked over is the final score.","I also explained it above but basically, at the end of the game, every block you knock over counts as 1 point, every remaining golf ball counts as 1 point, and every remaining dodge ball counts as 2 points.",3,"If I managed to get the second stage (meaning I managed to score enough points in the bin-basketball), I would probably get around 5 points.","I did not manage to get to the second stage, but I just acted like I did, and then I gave myself two golfballs and one dodgeball to hit the blocks. I scored 5 points, as I moved 5 of the blocks.","It is harder than I thought, as getting the balls in the bin is challenging, and I cant fit the bin properly in a corner so the balls either go behind it or bounce off and don't get in.","No particular strategy, just thought about what I would do in real life in a room with those objects. I would first start playing basketball, and then I would probably build something with the blocks, so I combined those two.","Some objects fell through the wall or behind the desk and I needed them. Also, I could not position the bin tightly in the corner as I would like to.",No comments.,No external aids used.,True,gameplay
33,33,83,G2chsLHjitbS4fASq4vq,2021-12-24 15:38:51.714000+00:00,many_objects,Bedside top drawer must be empty,How many items in the room can be stored simultaneously in the drawer,"1 point for each item that can be simultaneously stored in the drawer
Item cannot be broken
Items must fit when the drawer closes",2,7,6,"I wish there was more small items in the room.
Player would likely score higher if they start with a larger object and place small objects on top",I took an inventory of the room to understand the objects available and what each object could do.  There was a drawer that opens and shuts and many items that could fit in it.,"No, but I did realize objects could break when I tried to shut the drawer and a mug shattered.",No,No,False,
34,34,84,xGSK70m7Dh3wFZ2b8eoE,2021-12-24 15:40:00.069000+00:00,few_objects,"For the game I imagine, the room should have some hidden objects for the player to find them.","In this room, i could play ""Find the object"" in which there's a list of objects and you have to figure it out where they are.",When you find an object from the inicial list you have you win points. Each objects makes you win points.,1,100,100,"It's an easy game to find objects, but if you to make it harder put a timer.","I tried to use the space I had in the best way. Using the drawers, the shelves and every space. I think there's not much you can do in just one room, because in the beggining I thought about a space room.","Yes, I lost one of the objects behind the bed and there was no way for me to get it back because I couldn't move the bed.","No, it's an interesting task to do.","No, because I had the idea really clear on my mind.",False,
