Recorded Date,"Optionally, please describe any setup required in the room (as seen in the pictures) before you could play your game. Specifically, please list which objects your game uses and where in the room they need to be to play your game:



Please use the specific names for the items as provided in the table above.","Please describe a game you could play in this room:



Please use the specific names for the items as provided in the table above.","Please explain the scoring system for your game:



Please use the specific names for the items as provided in the table above.",How hard would you think your game is?,What do you imagine you would score on the first time playing your game?,"Please tell us, in a few sentences, about the strategy you used to create games. What did you consider? How did you go about it?",Did you have any technical difficulties while completing the experiment?,Do you have any questions or comments for us?
3/5/2021 16:17:19,"place the haxagonal bin on top of a shelf first, then the desk, then the bed.","With 3 different scenarios (shelf, desk, bed), the person should place themselves at different angles away from the bin and throw a dodgeball inside the bin, starting at the bed, if tha ball makes it inside then move on to the desk, if the ball makes it inside then move on to the shelf and throw it again. ","Bed - 1 point
Desk - 2 points
Shelf - 3 points",Medium,6,I considered creativity and imagination. A simple game of ball throwing is never boring.,no,no
3/5/2021 16:20:26,1 chair,the game consists in sitting on a chair from one side of the wall and only with the push of your leg you have to reach the opposite wall,the quickest you reach the other wall the better the score. in this case win the one with the lowest score.  You will have to count the seconds and minutes that it take you ,Very Easy,5,to create my strategy I looked at all the items available and I started imagining what I would do if I had to create a game in that specific room. I visioned myself inside the room,no,no
3/5/2021 16:24:59,Remove rug from floor. Push bed against one of the windows and the desk against the other. Have one chair again a wall and the six cube blocks placed evening from the chair to the other wall. ,"Push yourself along on the chair from one side of the room to the other using different methods - feet only, one finger from the wall, both hangs. ","For each block you get to, you get a point. 1 point for reaching the first block, 2 for the second, etc ",Medium,3,I was first trying to make something but then realised that would be one-off so I tried to come up with games that could be played repeatedly and that most people could attempt. ,The last one was hard as there were not many items. ,
3/5/2021 16:27:06,All that is need for this game is one of the dodgeballs and the wall.,The player can bounce the dodge ball off of the wall and catch it. ,"Each time the player catches the ball, it's one point. Each time they step back further and the points that can be gained increase by one. ",Easy,10 points,"All that I really considered while creating these games were what objects were in the room and what ways I could play with them. I also had to consider how to incorporate a scoring system into each one, because it wasn't something that I would naturally think of to kill time. ",No technical difficulties. ,No questions at this time.
3/5/2021 16:28:55,"2 dodgeballs, 6 cube blocks","Place the 6 cube blocks in 6 different places of your room preferably far away from the computer desk.
Pick up one of the 2 dodgeballs and to make it interesting you have only 6 attempts in order to hit every cube that there is in the room.","Each Cube  ""values"" 10 points, so if you hit all 6 on your first and only attempt you get the maximum amount of 60 points, if you only hit 5 of the cubes you get 50, if you hit only 4 then you receive 40 points and so on. Remember that is a one attempt only for each cube so there are no retries.",Medium,30,"Throughout my life I´ve always enjoyed to play with any kind of sport ball whether it is a football ball, a baskteball ball, dodgeball, etc... and so I tried to make interesting and objective games not that complex, with the other objects at my disposal such ah a ramp or a bin or a cube and make games where you would need to hit those balls in some objects, or use objects to make the ball go towards other objects and I think that yes are simple games but it can train your accuracy for example and your overall skill with sportsballs.",No. ,
3/5/2021 16:29:12,"rug, 2 dodgeballs,curved wooden ramp","First, I stand in front of the computer, next to the rug i put the curved wooden ramp, THE GAME consists in playing something similar to bowling, you'll need two balls, the score you get depends on the color of the rug where the ball stops.","if the ball stop in the red side of the rug, you get 50 points, if the ball stops in the pink side, you get 10 points, if the ball stops in the green or red side, you get 20 points, but if the color of the ball matches with the color of the rug you get 5 extra points, every time you score 30 points you get the chance to throw another ball.",Medium,40,"Those games are the ones I've played when i have no internet, I just had to add the score system so it wasn't hard to create them.",No,No
3/5/2021 16:30:26,One of the chairs has to be still in the same spot rotating.,The game uses the chair rotating as it was prepared you will have to throw items into the rotating in the chair forming a stack of items. it ends when an item falls from the chair.,10 points per item and 10 points per 5 centimeters.,Very Hard,30,I tried to create simple and straight forward games as possible not to have to do a detailed and complicated explanation of the game.,No.,Good study and creative.
3/5/2021 16:37:55,Place lamp in hexagonal bin.,"The player is standing on the opposite side of the room and tries to throw a dodgeball into the bin. If he hit whole in the lamp, he wins.","For every ball in the streak, the score is greater. A player starts with 0, for every hit in streak there is 10 points.",Very Easy,3,"I have a really good imagination so it was very easy for me to create these games. It was like instant idea. I don't think the games are perfect but I would play that games by myself personally.
",There is no desktop computer in 3rd photo's but it's on the list.,I don't think so.
3/5/2021 16:42:52,"You will need to use the bed, all the cube blocks and the two dodgeballs. Pile up the blocks on the bed making two triangle shapes next to each other. The color of the blocks used for each triangle are supposed to be changed from game to game randomly. Now, stand next to the desk.","Your job is to hit the blocks with the two dodgeballs, and knock them all over. You can not recover the dodgeballs or reassemble the triangles until you're done.","Knocking over all the blocks of the same color (being those Cream, Light brown and Blue) will award you 2 points. Knocking over all the blocks will give you 7 points, but if you somehow manage to do it with one dodgeball, you get 10.",Very Easy,"4, probably","I considered making super-simple games, but thought they might be very boring, so I tried to make something perhaps a-little-more creative. I thought of things I used to do as a child, or even fair games.",There were so many items I could use that at times I became a little overwhelmed.,Interesting study! I enjoyed it :)
3/5/2021 16:55:33,"6 cube blocks, in the middle of the room
1 dodgball
1 chair","i'd place the 6 cube blocks in the middle of the room, 1 on top of other, in pairs, making 3 collumns, 1 up front and 2 behind it. Then i'd be sitted in 1 chair and would try to strike the 6 cube blocks with 1 dodgeball to make them all be at the same level (all 6 cube blocks on the floor)","Being 3 collumns, there would be 3 top cubes that could be dethroned to the floor; each cube that fell from the top of the collumn would make 1 point",Easy,2,"I tried to use balls and the objective of the game to be to score with them (maybe becase I like a lot of games with balls (football, basketball, volley... even pool). Then I tried to spice it a little with some extra objects so it wouldn't be too simple and boring",No,No thanks
3/5/2021 17:05:16,"Nightstand, Alarm Clock, desk, desktop computer, textbook, curved wooden ramp, 2 chairs, pillow","You start in the room, as a miniature person (like a toy soldier). Your objective is to turn on the desktop computer, but first you need to turn it on (on the button) and then you discover it has a login associated. The alarm clock will show the same hour always (As it is broken) but then you discover that it has a hidden message. The hour it shows is in fact a page in the textbook on one of the 2 chairs. On that page you will find a word written in bold, stating the password of the desktop computer. You can use the 2 chairs, pillow and the curved wooden ramp to reach the spots needed to complete the challenge.","The score is a percentage number based on what can you do in the game. If you turn to the right page (Credentials page) you get a score 33%, if you can turn on the computer you get another 33%. If you can log in then you get to 100% (Based you did the other 2 before) ",Easy,100,"Game I already know, like escape rooms and sports games like bowling games.",None at all,No
3/5/2021 17:08:29,"Place the 6 cube blocks into a rectangle on the floor, all sides of the blocks must be touching. Then take the pillow, CD, 2 dodgeballs as throwing objects.","This game works buy throwing the throwing objects (pillow, CD, 2 dodgeballs as throwing objects) into the rectangle of 6 cube blocks. The goal of the game is to stand 5 feet away from the rectangle of 6 cube blocks and throw the throwing objects into the triangle without bouncing out.","The points for this game will work depending on what throwing object you use. The pillow is 5 points for getting it into the triangle, the CD is 10 points for getting it in and the 2 dodgeballs are 20 points for getting them in. If the throwing object bounces out of the triangle that is minus 5 points.",Easy,70,I considered what I had in the room then I tried to see what game would work best with what I had.,"No, everything went perfect!","I enjoyed this study very much, please do more."
3/5/2021 17:13:57,"The 6 cube blocks will have to be placed in different places all around the room(ex. inside hexagonal bin, in front of curved wooden ramp, one on top and one on bottom selves that are located above the hexagonal bin, to the corner of the room at the right side of the desk and on top on the chair that is located at the left of the desk) Finally, the player will use the 2 dodgeballs to play the game so he should retrieve them from the self.","The player will sit on the bed with the 2 dodgeballs and his cellphone. He will then set a 60 second countdown on his cellphone. Once the countdown begins, the player will attempt to hit the 6 cube blocks by throwing the 2 dodge balls. If the dodge ball makes contact with the cube, then the player can get up from the bed to retrieve the dodgeball. The player can only throw the dodgeball if he is sitting on the bed. The player is also not allowed to move the cube blocks by hand (if a cube block falls from the self for example, it shall stay there for the rest of the game). The games ends once the countdown is finished. The player earns score points by hitting the cube blocks with the 2 dodgeballs.","If the thrown dodgeball simply touches the cube block, then the player earns 5 points.
If the cube block flips or move a long distance when hit by the dodge ball, then the player earns 10 points.
Only the first time that a cube block gets hit counts towards the score.",Easy,55,"I tried to immerse myself in the situation by imagining myself being bored inside the rooms that were shown. Then, by examining the available items, I tried to come up with some fun and a little challenging games that would help me pass my time.",None at all.,Very creative experiement. I very much enjoyed my time with it.
3/5/2021 17:17:43,"need to put every two cube blocks in a different place, 1st two cube blocks beside the desk chair, the 2nd two cube blocks beside the hexagonal bin, the 3rd two cube blocks on the bed. And I need the alarm clock, and the shelve where the two dodgeballs are.
","so the game is, to close the eyes and try to bring the 6 cube blocks and put them in the shelve where the balls are located. Each time need to take only two cube blocks and put them in the shelve.  I got 7 minutes to finish the mission. Before starting the game I need to watch what time it is or setting the timer on 10 min, if the alarm clock has the option. After setting the time I need to close my eyes and spin around myself 7 rounds to confuse myself where I am exactly. scoring 25 to win the game","the first two cube blocks = 20 points
2nd two cube blocks = 10 points
3rd two cube blocks = 5 points
",Hard,5,"I tried to make it fun for me, I tried to play something that I would enjoy. Basically I only play games that I would enjoy and feel it is fun and challenging, so I tried to benefit from what the room has and create a fun game for myself.","Nope, it was all alright. ","Actually, as I used the balls in the first and second games, it was hard to create a game in the 3rd room because all what I saw at first is playing with the balls differently, but then I tried to think of something instead of the balls, and still I could enjoy."
3/5/2021 17:25:55,"1 chair (to spin on)
1 laptop (to keep your score via notes)
6 cube blocks (placed on top of each other to form a 3x2 construction)
1 hexagonal bin
2 dodgeballs (one to throw at the cube block construction and the other to throw into the hexagonal bin)

At one end of the room (near the desk) place the chair which will be used to spin on
At the other end of the room near the bed place down the 3x2 cube block construction (on the floor to the left of the bed) and the hexagonal bin (on top of the bed)
Turn on your notes application on your laptop","The game would consist of placing two dodgeballs near the chair that you will be spinning on, spinning on the above mentioned chair (amount of spins will vary) and throwing the said dodgeballs (one at the 3x2 cube block construction and the other into the hexagonal bin) ","The scoring system goes as follows:
Each cube block that you knock over with the dodgeball is worth one point
Each time you manage to throw the other dodgeball inside of the hexagonal bin you will get 5 additional points
The amount of spins that you perform on the chair acts as a multiplier for your point per round (round- a certain amount of spins and two dodgeball throws)",Medium,250,"I considered the objects which could actually help me create a game which actually makes sense.
I also considered my preferences when it comes to playing with toys in a room, completely on your own and bored to bits.","I slowly ran out of ideas on what game to create
I honestly believe that the more random objects you come across within a certain room the harder it becomes to create a fun game",Absolutely not. Thank you.
3/5/2021 17:31:50,"For this game I would need 1 dodgeball, 6 cube blocks, a mug, a textbook, the alarm clock and the 2 chairs.","This would be a building and time limit game. I would have 1 minute to build a structure using the 2 chairs, textbook to bridge between them, on the textbook I would need to conveniently place the 6 cube blocks into a pyramid (3-2-1), put the mug and then the dodgeball on top. I would use the alarm clock to time 1 minute for the game. ","I would get up to 6 points for each complete level built, before the 1 min time limit. 1 point for putting the chairs and textbook together, 1 more point for putting 3 cube blocks down on the textbook, 1 more point for putting 2 blocks on top, 1 more point for the last 1 cube, 1 point for putting the cup on the cube and 1 point for placing the ball on the cup.",Very Easy,6,"I looked around the room and wanted to create a game that is not extremely complicated, but it's also a bit more than playing with a teddy bear and a ball. I wanted to create some sort of competition with myself and a couple of them include building structures or a time limit. I wanted to use at least 7-8 objects so the game has the potential to be fun, but I didn't want to use almost all the objects in the room so they would not be linked to each other. I wanted to give myself a few 'turns' to try get better at the game but the game is also not too time consuming, so I can end it whenever I get tired or bored.",No,No
3/5/2021 17:32:01,"bed, 6 cube blocks, hexagonal bin 1 dodgeball, 2 chair ","player is standing on the bed, throws cube blocks to the bin, for strike of 6 good throws he throw a dodgeball in the chair with intention to fall it over.","6 good throws of cube blocks is giving acces to use a dodgeball, one dodgeball throw that makes chair fall over is rated 0,5 point, to win is needed 2 points",Very Easy,1,i consider easyness as you ask for a game to pass a time. i consider throwing objects the main formula for a games.,"is hard to visualize the room while having only pictures, maybe 3d look like in google maps would be easier for me to navigate","no, thank you"
3/5/2021 17:33:13,"shelves, door, a rug, bed, 2 dodgeballs, 2 chairs, desktop computer, nightstand,
2 dodgeballs, hexagonal bin, curved wooden ramp, 6 cube blocks
2 chairs, doggie bed, desk, desk lamp, desktop computer, laptop, CD, mug,
cellphone, textbook","To start the game you have to choose some objects and place a rug in the middle of the room, you can use literally anything around you, (but i do not reccomend using heavy objects), the best way to prepare your setup is to take all choosen objects and place them around you in circle. Now you need to assign a number (1-10) to ten first items that you choose to play with (Numbers cannot repeat) Multiple objects of the same type (ex. 6 cube blocks) only needs 1 number assigned. Your goal is to build ca tower out of this items, in randomized order. Take your textbook and open on random page and choose any word with closed eyes (let's say that the word is ""STAR""). S-T-A-R have 4 letters, so you take your item with this number (fe. cellphone) and place it on a rug. Contgratulations! you have already started your game!. If you have more than 10 items in game, simply take your number (in this case 4) and choose another object to takeover your last item number, for the next round. If you dont have luck, and your first item  is fe. desk lamp you can choose word from textbook again, but you lose 1 point for every change at the end of the game. The game ends when you have no more space to place your objects (when your tower hits the ceiling) or when your construction collapse. And the last rule of this game is when the magix happens, when you have already fe. 3 objects lying on top of another, you can choos not to draw again, instead of doing this, you can take any bigger item and place it on top of the last used item, for this action, you will gain addictional 2 points.","For every used item you gain 1 point. If you decide to choose another word you lose a point. When you decide to use bigger object then the last one used, you gain addictional 2 points.",Hard,~10 points,"I didnt wanted to choose specified object at first, so i made 2 out of 3 games that you can play using any objects that are in the room so i can build my own strategy while preparing to my game. However on the 3rd game i decided to create something simular to the curling game, because its really simple and satisfying game.","No, but i wanted to think more about special mechanics in the games, so i can make them more intresting.",No :)
3/5/2021 17:53:15, 6 cube blocks,"
the game consisted of doing marabbalism with the cubes blocks and enduring as long as possible to do marabbalism","
to make the score it was enough to count the number of cube blocks that we were doing marabalism and add up with the minutes that we were holding",Hard,3,"
my strategy to create the games was due to the creativity I have and the childhood I had and gave me a lot of knowledge of games when I am alone","it was quite long, and very specific",no thanks
3/8/2021 12:33:33,,The aim of the game is to use the 6 cube blocks and by throwing each of them at a time  try to stack them without collapsing the shape.,"Participant gets 1 point for the first cube, 2 points for the second cube, 3 points for the third cube....  6 points for the 6th cube.",Very Hard,3,I tried to create a fun activity and one that was challenging the player and make him not give up.,No,No
