,index,id,timestamp,scene,game_setup,game_gameplay,game_scoring,game_difficulty,game_firstTimeScore,gameScore_score,gameScore_thoughts,debrief_strategy,debrief_difficulties,debrief_questions,debrief_external_aids
10,15,jhO40BilcfyPMScEKLiE,2021-11-03 21:30:48.582000+00:00,medium_objects,,Throw teddy onto pillow 10 times,Score 1 point for everytime teddy lands on pillow,2,4,5,,"I would do something In real life. I have played this game before with my girlfriend, who enjoyed it.",no,no,No. I came up with it  in my mind
11,16,cdo6CztpMH0It12THBAy,2021-11-03 20:59:06.262000+00:00,many_objects,"I got 3 Different ideas. The first 2 can be setup by yourself.
1st one is a simple basketball game using the bin as a basket and the dodgeballs as bastketballs put the bin on one end of the room or on the bed (for a higher difficulty) and use the other end of the room as a marker from where you throw.
2nd You can setup a Mini Golf course using the Ramps, Pyramids and different building blocks to setup a course the Bridges would be used as goals.
3rd requires a setup from a different Person. One Person hides small object inside the room (like the cellhpone, Key, Credit Card, Cd and so on) and then you have to find all objects in a given time limit. ","1. Basketball
2. Mini Golf
3. ""hide and seek""","1. 10 tries 1 Point if the ball lands in the Bin 3 Points if it lands in the Bin without touching the floor before.
2. Number of tries to hit the goal (just like regular golf Par would be determined by the difficulty of the course)
3. Number of objects found with a difficulty multiplier for the Time limit 5 minutes = 1 Point per Object 3 miutes = 2 Points 90 seconds = 3 Points",1,The Basketball game is pretty easy. Mini golf is very difficult because of the weird physics engine used. And hide and seek depends on the places where things are hidden.,5,I built the basketball game (and i made a mistake when predicting my score i thought i can continue writing in the next line by pressing shift+enter but i continued the survey) and i should have built it the other way round so placing then bin next to the desk. Because the edge of the carpet can stop your dodge balls. ,First i saw all the different building blocks and thought of a Jenga like game where u had to place blocks onto another without them falling over but the physics engine is really bad and the controls are too sensitive. Then i tried the mini golf thing i described but noticed a lot of problems with the golf balls bouncing all over the place but not rolling. Then i settled for the Basketball game because the dodge balls gave me the least amount of trouble. ,I think my pc is too powerful for this and i think the physics are based on FPS. So i have to move every object extra carefully. If you are holding an object it shouldn't collide with everything i knocked of the PC a dozen times trying to move a pen. And you cant pick up the pc so it is stuck on the ground and you have to reset the room really annoying. But on the other hand objects will just clip through walls. When trying to hide things behind a blinder most of the time they clipped through the window disappearing into the void. Then i tried hiding the credit card und a block on the shelf. Everytime the block touches the card it clips through the shelf. ,The Robot you control looks like straight out of a cheap horror movie maybe change the model :D,No
12,20,Kns1TGpthEFdKLHHOcey,2021-11-03 18:56:40.855000+00:00,few_objects,The room needs to have a completely open space in the middle. There should be nothing obstructing the way of the player.,You need the dodgeballs and the curved ramp. You would put the curved ramp on one end and then stand on the other end. you would then roll the ball hard enough to get over the curved ramp and would get a point when it goes over.,"To score in my game, the ball needs to get over the ramp. If you manage to get the ball over on your first attempt that's 3 points, the second is 2 points and anything after that is 1 point.",4,I would score about 1.,1,It is definitely a lot harder than I had imagined playing a game like that on a laoptop.,I considered everything that was in the room that would make for a fun and interesting game you could play alone. I also looked around for what I could use to the play the game and what the room had that I could move.,"Yes I did, at some point, I couldn't move from the corner that I was in and I wanted to move forward to get a dodgeball. ",That was a lot more complicated than I thought but a very nice challenge.,"Yes I did, I thought of fun games I used to play growing up as an only child just to get the ideas flowing and bowling came up and I saw the ramp and balls and made something similar."
13,21,d3UwxDa5ebWgG9emiJN7,2021-11-03 18:53:28.754000+00:00,many_objects,"To prepare the room for the game you have to place the bin in front of the desk in the same line as chair. Also, place the carpet to the center of the room, behind the bin.","First stage of the game would be throwing the ball to the bin in a specific amount time. Next step is placing objects that are the same color as the rectangles on the carpet, also in the specific amount of time.","First, we count all the times the ball landed in the bin.
In the second stage of the game, the more objects the player puts before the time ends, the more points he gets. The final score would be a sum of the points from both stages.",0,"I woud probably score a high amount of points, because the game seems to be very easy for me.",,,,,,
14,22,ImigmCOsFcfkSwe0ctO2,2021-11-02 21:19:40.230000+00:00,medium_objects,Position the in front of the bed. Remove pillow and teddybear from the bed.,Try to trow the balls inside the bin from other side of the room. ,Dodge ball is 10 points. Basketball is 20 points. Beach ball is 30 points. Every miss is -1 point. ,1,30,15,For the firs run the distance could be shorter to allow the player to get used to the physic of the game. ,"I consider the difficulty of setting up the game. I tried moving some objects around and see how precisely they can be manipulated into desired positions. Then I looked ad all the objects in the room and tried to see what can be combined into a game, that is not too difficult to setup. ",No.,No.,Half way through the game I started to use a notepad to keep the score.
15,23,elaUTwEvCJFrZToj8DBY,2021-11-02 21:04:38.911000+00:00,few_objects,,Throwing w Dogball to the can form 1 meter distance,1 Dogball in the bin = 1 point,1,1,"2, after some fails mat start","the CurvedRamp was no need, the rules of the game was not specified well","Finding some stuff to make as simple game as possible, there was balls with the bin or blocs of wooden toys","yes, i didn't know how physics works exactly in current room",no,"no, i imagined it all in my head"
16,36,tM0MidzjBJBLkOEPYr2F,2021-10-23 22:33:04.491000+00:00,medium_objects,The ball must roll down the ramp and hit as many blocks as possiblle,Minni ball bash,The more blocks it hits the more points you get,2,4,2,I dont like this game that mutch,All making use of grafity and placement of the blocks. That will deside the outcome and the score,No. The game is unprodictable and that was the end score,No,No
17,37,lchV8TQjaHcYtHAqR31Q,2021-10-23 20:36:08.420000+00:00,many_objects,,"Create a tower with the largest number of figures available.
",Each level of the tower will count as 1 point,3,I would score 6 points,5,It is very hard,I thought as if I were a child playing with toys. I saw the wooden figures and I thought it was funny to try to pile them up and see how high could I build a tower.,No.,It would be nice to let the user change the key bindings.,"No, just my imagination"
18,38,SFpazSkgQ7MFSwDEa3c9,2021-10-22 21:02:15.391000+00:00,many_objects,Open the top drawer beside your bed.,"First you pick up a dodgeball or a golf ball and stand right beside the room leaving out of the room. After that you throw either the dodgeball or the golf ball to the bin or the top drawer that we opened earlier. The game ends when you have thrown all the balls (six in total, 3 golfballs and 3 dodgeballs) and then you tally up your points.","To score in this game you just have to throw any of the balls either to top drawer or the bin.

If you get a golf ball in the bin you get only 1 point, but if you suceed to get a dodgeball in you get 2 points.

The other method to score points is to throw in the golfballs to the top drawer. If you get the golf ball you get 3 points.

But if you miss any of the throws to either the bin or the drawer you get a reduction of 1 point.",1,10,,,,,,
19,39,eYM9NgeUlg9mGpwlGemD,2021-10-22 20:58:20.433000+00:00,many_objects,,"The game I can play in this room it is call memorandum. It could be a game where you have to memorize a part of the room. For example, the wall with the colored figures.","the scoring system can be the more hits you have, the more points you will have.
",1,"from 1 to 10. I would say an 8 haha, I'm not good at memorizing",I scored 7,"I think it might be better if the objects disappeared so that I have to arrange them myself
","Starting by memorizing the shapes of objects and colors could be of great help.
","yes, it could be that the game programming is changed to make the game a little more dynamic
",I would like to play the game when it is fully developed. ,no
20,40,RfP7c4trKFGmDp6xpiG8,2021-10-22 20:57:12.168000+00:00,medium_objects,Place small ramp in front of bin where there is space in the room.,"Take ball (any), and try to get it into the bin by rolling it hard (and straight) enough to pass the small ramp. When/if the bin hits over, game over. ",1 point per successful hit. ,1,6,,,,,,
