Index,structure_start,structure,count
82,then,(then (once (and (agent_holds ?x) (= (color ?x) object_type) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (< (distance ?x ?x) 0) (exists (?x ?x ?x ?x ?x - object_type) (and (= (color ?x) object_type) (< (distance ?x ?x) 0) (= (color ?x) object_type) (< (distance ?x ?x) 0) (= (color ?x) object_type) (< (distance ?x ?x) 0) (= (type ?x) object_type) (< (distance ?x ?x) 0) (= (color ?x) object_type) (< (distance ?x ?x) 0) ) ) ) ) ),1
83,then,(then (once (and (agent_holds ?x) (on ?x ?x) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),3
84,then,(then (once (agent_holds ?x) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),1
85,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),2
86,then,(then (once (and (agent_holds ?x) (rug_color_under ?x ?x) (= (color ?x) ?x) (not (exists (?x - object_type) (in ?x ?x) ) ) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),1
87,then,(then (once (and (agent_holds ?x) (on ?x ?x) (adjacent ?x ?x) (> (distance ?x ?x) 0) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),1
88,then,(then (once (and (agent_holds ?x) (on ?x ?x) (adjacent ?x ?x) (> (distance ?x ?x) 0) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (not (in_motion ?x) ) ) ),1
89,then,(then (once (and (agent_holds ?x) (on ?x ?x) (adjacent ?x ?x) (> (distance ?x ?x) 0) ) ) (hold-while (and (in_motion ?x) (not (agent_holds ?x) ) ) (touch ?x ?x) (in_motion ?x) ) (once (not (in_motion ?x) ) ) ),1
90,then,(then (once (agent_holds ?x) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) (not (touch ?x ?x) ) ) ) (once (touch ?x ?x) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) (not (touch ?x ?x) ) ) ) (once (and (not (in_motion ?x) ) (on ?x ?x) ) ) ),1
91,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (not (in_motion ?x) ) ) ),2
92,then,(then (once (and (agent_holds ?x) (not (on ?x ?x) ) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (on ?x ?x) ) ) ),1
93,then,(then (once (and (agent_holds ?x) (or (on ?x ?x) (adjacent ?x ?x) ) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),1
94,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (on ?x ?x) ) ) ),1
95,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (or (in ?x ?x) (on ?x ?x) ) ) ) ),1
96,then,(then (once (and (agent_holds ?x) (is_setup_object ?x) (>= (distance ?x ?x) (distance ?x ?x)) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),1
97,then,(then (once (and (agent_holds ?x) (is_setup_object ?x) (>= (distance ?x ?x) (distance ?x ?x)) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) ) ) ),1
98,then,(then (once (agent_holds ?x) ) (hold-while (and (in_motion ?x) (not (agent_holds ?x) ) (not (in ?x ?x) ) ) (touch ?x ?x) ) (once (and (not (in_motion ?x) ) (not (in ?x ?x) ) ) ) ),1
99,then,(then (once (agent_holds ?x) ) (hold-while (and (in_motion ?x) (not (agent_holds ?x) ) ) (in ?x ?x) ) (once (and (not (in_motion ?x) ) ) ) ),1
100,then,(then (once (agent_holds ?x) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (and (not (in_motion ?x) ) ) ) ),1
101,then,(then (once (and (agent_holds ?x) (adjacent ?x ?x) ) ) (hold (and (in_motion ?x) (not (agent_holds ?x) ) ) ) (once (in ?x ?x) ) ),1
102,then,(then (once (and (forall (?x - object_type) (on ?x ?x) ) (on ?x ?x) ) ) (hold (forall (?x - object_type) (or (on ?x ?x) (agent_holds ?x) (in_motion ?x) (exists (?x - object_type) (and (not (= ?x ?x) ) (< (distance ?x ?x) object_type) (on ?x ?x) (on ?x ?x) ) ) ) ) ) (hold (forall (?x - object_type) (< (distance ?x ?x) 0) ) ) (once (above ?x ?x) ) ),1
103,then,(then (hold (<= (distance ?x ?x) 0) ) (once (or (> (distance ?x ?x) 0) (forall (?x - object_type) (and (not (in_motion ?x) ) (> (distance ?x ?x) 0) ) ) ) ) ),1
104,then,(then (once (and (is_setup_object ?x) (agent_holds ?x) (<= (distance ?x ?x) 0) ) ) (hold-while (and (in_motion ?x) (not (agent_holds ?x) ) ) (touch ?x ?x) (in_motion ?x) ) ),1
105,then,(then (once (and (agent_holds ?x) (<= (distance ?x ?x) 0) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (or (in ?x ?x) (on ?x ?x) ) ) ) ),1
106,then,(then (once (and (agent_holds ?x) (forall (?x - object_type) (> (x_position ?x) (x_position ?x)) ) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),1
107,then,(then (once (and (agent_holds ?x) (forall (?x - object_type) (> (x_position ?x) (x_position ?x)) ) ) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (not (in_motion ?x) ) ) ),1
108,then,(then (once (agent_holds ?x) ) (hold-while (and (not (agent_holds ?x) ) (in_motion ?x) ) (on ?x ?x) (on ?x ?x) (on ?x ?x) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),1
109,then,(then (once (on ?x ?x) ) (hold (agent_holds ?x) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),1
110,then,(then (once (on ?x ?x) ) (hold (agent_holds ?x) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) ) ) (once (touch ?x ?x) ) ),1
111,then,(then (once (agent_holds ?x) ) (hold (and (not (agent_holds ?x) ) (in_motion ?x) (not (touch ?x ?x) ) ) ) (once (and (not (in_motion ?x) ) (in ?x ?x) ) ) ),1
112,at-end,(at-end (in ?x ?x) ),5
113,at-end,(at-end (and (in ?x ?x) (on ?x ?x) ) ),1
114,at-end,(at-end (and (in ?x ?x) (not (exists (?x - object_type) (and (not (type ?x ?x) ) (touch ?x ?x) ) ) ) ) ),1
115,at-end,(at-end (and (in ?x ?x) (not (exists (?x - object_type) (on ?x ?x) ) ) (not (exists (?x - object_type) (and (not (type ?x ?x) ) (touch ?x ?x) ) ) ) ) ),1
116,at-end,(at-end (and (on ?x ?x) (on ?x ?x) (on ?x ?x) (on ?x ?x) ) ),1
117,at-end,(at-end (and (in ?x ?x ?x) ) ),1
118,at-end,(at-end (and (adjacent ?x ?x) (on ?x ?x) ) ),2
119,at-end,(at-end (and (in ?x ?x) ) ),2
120,at-end,(at-end (and (not (toggled_on ?x) ) ) ),1
121,at-end,(at-end (and (not (type ?x ?x) ) (on ?x ?x) ) ),1
122,at-end,(at-end (and (in ?x ?x) (not (open ?x) ) ) ),1
123,at-end,(at-end (on ?x ?x) ),5
124,at-end,(at-end (open ?x) ),1
